4825	34.433608%
10157	34.433608%
15489	34.433608%
20821	34.433608%
26153	34.427152%
31486	34.414854%
36818	34.414854%
42150	34.414854%
47482	34.414854%
52814	34.414854%
58146	34.414854%
63478	34.414854%
68810	34.414854%
74142	34.414854%
79474	34.414854%
84806	34.414854%
90138	34.433608%
95470	34.433608%
100802	34.433608%
106134	34.433608%
111466	34.433608%
116798	34.433608%
122130	34.433608%
127462	34.433608%
132794	34.433608%
138126	34.433608%
143458	34.427152%
148791	34.414854%
154123	34.414854%
159455	34.414854%
164787	34.414854%
170119	34.414854%
175451	34.414854%
180783	34.414854%
186115	34.414854%
191447	34.414854%
196779	34.414854%
202111	34.414854%
207443	34.433608%
212775	34.433608%
218107	34.433608%
223439	34.433608%
228771	34.433608%
234103	34.433608%
239435	34.433608%
244767	34.433608%
250099	34.433608%
255431	34.433608%
260763	34.427152%
266096	34.414854%
271428	34.414854%
276760	34.414854%
282092	34.414854%
287424	34.414854%
292756	34.414854%
298088	34.414854%
303420	34.414854%
308752	34.414854%
314084	34.414854%
319416	34.414854%
324748	34.433608%
330080	34.433608%
335412	34.433608%
340744	34.433608%
346076	34.433608%
351408	34.433608%
356740	34.433608%
362072	34.433608%
367404	34.433608%
372736	34.433608%
378068	34.427152%
383401	34.414854%
388733	34.414854%
394065	34.414854%
399397	34.414854%
404729	34.414854%
410061	34.414854%
415393	34.414854%
420725	34.414854%
426057	34.414854%
431389	34.414854%
436721	34.414854%
442053	34.433608%
447385	34.433608%
452717	34.433608%
458049	34.433608%
463381	34.433608%
468713	34.433608%
474045	34.433608%
479377	34.433608%
484709	34.433608%
490041	34.433608%
495373	34.427152%
500706	34.414854%
506038	34.414854%
511370	34.414854%
516702	34.414854%
522034	34.414854%
527366	34.414854%
532698	34.414854%
538030	34.414854%
543362	34.414854%
548694	34.414854%
554026	34.414854%
559358	34.433608%
564690	34.433608%
570022	34.433608%
575354	34.433608%
580686	34.433608%
586018	34.433608%
591350	34.433608%
596682	34.433608%
602014	34.433608%
607346	34.433608%
612678	34.427152%
618011	34.414854%
623343	34.414854%
628675	34.414854%
634007	34.414854%
639339	34.414854%
644671	34.414854%
650003	34.414854%
655335	34.414854%
660667	34.414854%
665999	34.414854%
671331	34.414854%
676663	34.433608%
681995	34.433608%
687327	34.433608%
692659	34.433608%
697991	34.433608%
703323	34.433608%
708655	34.433608%
713987	34.433608%
719319	34.433608%
724651	34.433608%
729983	34.427152%
735316	34.414854%
740648	34.414854%
745980	34.414854%
751312	34.414854%
756644	34.414854%
761976	34.414854%
767308	34.414854%
772640	34.414854%
777972	34.414854%
783304	34.414854%
788636	34.414854%
793968	34.433608%
799300	34.433608%
804632	34.433608%
809964	34.433608%
815296	34.433608%
820628	34.433608%
825960	34.433608%
831292	34.433608%
836624	34.433608%
841956	34.433608%
847288	34.427152%
852621	34.414854%
857953	34.414854%
863285	34.414854%
868617	34.414854%
873949	34.414854%
879281	34.414854%
884613	34.414854%
889945	34.414854%
895277	34.414854%
900609	34.414854%
905941	34.414854%
911273	34.433608%
916605	34.433608%
921937	34.433608%
927269	34.433608%
932601	34.433608%
937933	34.433608%
943265	34.433608%
948597	34.433608%
953929	34.433608%
959261	34.433608%
964593	34.427152%
969926	34.414854%
975258	34.414854%
980590	34.414854%
985922	34.414854%
991254	34.414854%
996586	34.414854%
1001918	34.414854%
1007250	34.414854%
1012582	34.414854%
1017914	34.414854%
1023246	34.433608%
1028578	34.433608%
1033910	34.433608%
1039242	34.433608%
1044574	34.433608%
1049906	34.433608%
1055238	34.433608%
1060570	34.433608%
1065902	34.433608%
1071234	34.433608%
1076566	34.433608%
1081898	34.427152%
1087231	34.414854%
1092563	34.414854%
1097895	34.414854%
1103227	34.414854%
